-1,-0.936242,-0.992471
-1,-0.995871,-0.985686
-1,-0.977336,-0.979188
-1,-0.913592,-0.958498
-1,-0.991671,-0.88354
-1,-0.994453,-0.863751
-1,-0.911877,-0.86964
-1,-0.891281,-0.982778
-1,-0.817791,-0.988449
-1,-0.779218,-0.986375
-1,-0.87559,-0.97391
-1,-0.876479,-0.960648
-1,-0.840751,-0.959349
-1,-0.82037,-0.925451
-1,-0.885181,-0.923162
-1,-0.936433,-0.921208
-1,-0.884826,-0.866295
-1,-0.885741,-0.859447
-1,-0.949876,-0.842884
-1,-0.896017,-0.838751
-1,-0.855667,-0.891519
-1,-0.840429,-0.923638
-1,-0.838718,-0.917035
-1,-0.820454,-0.890727
-1,-0.799363,-0.877054
-1,-0.822761,-0.866958
-1,-0.84899,-0.841942
-1,-0.91024,-0.837186
-1,-0.998679,-0.814287
-1,-0.974519,-0.807644
-1,-0.97757,-0.793941
-1,-0.96339,-0.780741
-1,-0.998768,-0.742124
-1,-0.99769,-0.726054
-1,-0.947226,-0.830665
-1,-0.928097,-0.831129
-1,-0.800297,-0.831777
-1,-0.787724,-0.821194
-1,-0.931159,-0.722362
-1,-0.816886,-0.58656
-1,-0.896382,-0.722161
-1,-0.963213,-0.719853
-1,-0.963918,-0.646366
-1,-0.945539,-0.633459
-1,-0.974169,-0.615453
-1,-0.90191,-0.600782
-1,-0.935919,-0.600354
-1,-0.984161,-0.596345
-1,-0.895572,-0.575876
-1,-0.88258,-0.677169
-1,-0.888834,-0.664034
-1,-0.816059,-0.61119
-1,-0.837196,-0.590155
-1,-0.794866,-0.566975
-1,-0.776172,-0.952547
-1,-0.717099,-0.999023
-1,-0.651543,-0.989118
-1,-0.759776,-0.975189
-1,-0.723903,-0.954909
-1,-0.767817,-0.947181
-1,-0.645748,-0.936914
-1,-0.631199,-0.989941
-1,-0.501444,-0.999493
-1,-0.539257,-0.993563
-1,-0.623068,-0.993554
-1,-0.557933,-0.991388
-1,-0.580526,-0.990619
-1,-0.60893,-0.9895
-1,-0.514525,-0.9874
-1,-0.590034,-0.986665
-1,-0.583819,-0.976338
-1,-0.599748,-0.966178
-1,-0.712085,-0.957126
-1,-0.683789,-0.941579
-1,-0.608498,-0.930822
-1,-0.581489,-0.950426
